0.91525,0.4027,0.012231,2582.7,-0.40242,0.91523,-0.020381,3564.1,-0.019402,0.013732,0.99972,14.62,0,0,0,1
0.88494,0.46489,0.027487,2606.8,-0.46452,0.88536,-0.019064,3552.1,-0.033199,0.0041026,0.99944,15.389,0,0,0,1
0.91515,0.40174,0.033295,2633.9,-0.40245,0.91526,0.018366,3537,-0.023095,-0.030207,0.99928,16.229,0,0,0,1
0.88527,0.46487,0.014171,2658,-0.46476,0.88538,-0.010499,3528,-0.017427,0.0027089,0.99984,16.939,0,0,0,1
0.91536,0.40262,0.0016489,2688.2,-0.40255,0.91527,-0.015519,3516,-0.0077575,0.013542,0.99988,17.76,0,0,0,1
0.91497,0.40253,-0.028285,2715.3,-0.40222,0.9154,0.016051,3500.9,0.032353,-0.0033091,0.99947,18.17,0,0,0,1
0.88489,0.46501,-0.02713,2742.5,-0.46399,0.88508,0.036757,3488.8,0.041104,-0.019938,0.99896,17.849,0,0,0,1
0.91525,0.40254,-0.016828,2772.6,-0.40246,0.9154,0.0081726,3476.8,0.018694,-0.00070742,0.99983,17.52,0,0,0,1
-0.74824,0.66339,-0.0067087,2781.7,-0.6631,-0.74815,-0.023962,3467.9,-0.020916,-0.013481,0.99969,17.549,0,0,0,1
-0.69909,0.71425,-0.03357,2766.6,-0.71002,-0.69897,-0.085537,3452.9,-0.084559,-0.035963,0.99577,18.884,0,0,0,1
-0.74555,0.66413,0.055583,2757.6,-0.66636,-0.74152,-0.078111,3443.9,-0.01066,-0.095275,0.99539,19.792,0,0,0,1
0.94008,0.33838,-0.041822,2754.5,-0.33824,0.941,0.010772,3419.7,0.043,0.004019,0.99907,20.91,0,0,0,1
0.88539,0.46472,-0.010859,2730.4,-0.46466,0.88546,0.0074454,3431.7,0.013075,-0.0015464,0.99991,21.01,0,0,0,1
0.88269,0.46458,-0.07088,2715.3,-0.46448,0.88538,0.018796,3437.7,0.071488,0.016332,0.99731,20.97,0,0,0,1
0.91543,0.40244,-0.0059338,2688.2,-0.40227,0.91532,0.019384,3449.8,0.013232,-0.015358,0.99979,20.81,0,0,0,1
0.88423,0.46341,0.05823,2661.1,-0.46479,0.88534,0.012172,3461.8,-0.045912,-0.037828,0.99823,20.74,0,0,0,1
0.8854,0.46474,-0.0091831,2636.9,-0.4648,0.88539,-0.0065016,3473.8,0.0051091,0.010025,0.99994,20.7,0,0,0,1
0.88547,0.46458,-0.01067,2609.8,-0.46422,0.88536,0.025217,3482.8,0.021162,-0.017375,0.99963,20.53,0,0,0,1
0.88565,0.46434,-0.00061654,2582.6,-0.46417,0.88536,0.026054,3494.9,0.012644,-0.022788,0.99966,20.299,0,0,0,1
0.88548,0.46465,-0.0055538,2561.5,-0.46456,0.88546,0.012152,3506.9,0.010564,-0.0081805,0.99991,19.99,0,0,0,1
0.88528,0.46484,-0.014447,2534.4,-0.46499,0.88526,-0.009593,3519,0.0083303,0.01521,0.99985,19.56,0,0,0,1
0.76865,-0.63958,0.010569,2543.6,0.63755,0.76466,-0.09391,3537.2,0.051981,0.078922,0.99552,18.121,0,0,0,1
0.72063,-0.69096,-0.057208,2555.6,0.68349,0.72183,-0.10863,3552.2,0.11635,0.039178,0.99244,16.158,0,0,0,1
0.7643,-0.6344,-0.11569,2567.7,0.6328,0.77237,-0.054845,3561.2,0.12415,-0.031292,0.99177,14.876,0,0,0,1
